"Date","Open","High","Low","Close"
"10 May 2023","48453.00","48698.75","48333.85","48643.35"
"09 May 2023","48685.40","48708.35","48228.60","48369.10"
"08 May 2023","48376.70","48686.15","48312.40","48538.45"
"05 May 2023","48054.40","48326.05","48013.65","48186.15"
"04 May 2023","48061.50","48169.80","47938.80","48057.35"
"03 May 2023","47754.70","48207.90","47638.15","48120.65"
"02 May 2023","47956.85","48083.70","47675.25","47750.20"
"28 Apr 2023","47267.05","47955.30","47074.05","47814.10"
"27 Apr 2023","47401.50","47453.55","47197.15","47360.15"
"26 Apr 2023","47038.10","47459.95","46933.05","47387.50"
"25 Apr 2023","46913.45","47117.05","46807.95","47051.85"
"24 Apr 2023","46812.05","46978.45","46509.75","46943.05"
"21 Apr 2023","46259.40","46706.10","46194.80","46669.70"
"20 Apr 2023","46404.50","46616.00","46156.10","46256.05"
"19 Apr 2023","46475.95","46539.65","46230.60","46421.45"
"18 Apr 2023","46756.30","46765.55","46437.40","46536.35"
"17 Apr 2023","46331.90","46801.35","46220.35","46688.60"
"13 Apr 2023","46179.55","46449.40","46118.90","46211.95"
"12 Apr 2023","46380.95","46401.00","46008.80","46112.60"
"11 Apr 2023","46001.40","46330.05","45950.40","46269.70"
"10 Apr 2023","46107.40","46161.05","45843.35","45909.65"
"06 Apr 2023","46347.25","46353.70","46023.30","46109.15"
"05 Apr 2023","45662.85","46413.25","45626.20","46361.25"
"03 Apr 2023","46053.65","46053.65","45530.35","45738.45"
"31 Mar 2023","45583.10","45958.50","45435.90","45904.90"
"29 Mar 2023","45051.10","45523.45","44989.20","45421.65"
"28 Mar 2023","45215.20","45342.85","44987.00","45044.25"
"27 Mar 2023","45093.25","45434.10","44918.35","45188.00"
"24 Mar 2023","45229.15","45412.95","44990.05","45060.00"
"23 Mar 2023","45056.95","45434.30","44876.15","45267.45"
"22 Mar 2023","45027.70","45140.20","44828.50","45109.50"
"21 Mar 2023","45282.05","45306.35","44806.75","44913.40"
"20 Mar 2023","44704.20","45259.50","44392.05","45213.05"
"17 Mar 2023","45232.35","45242.40","44573.00","44858.30"
"16 Mar 2023","44575.90","45021.70","44447.80","44971.20"
"15 Mar 2023","44873.10","45047.65","44396.90","44464.35"
"14 Mar 2023","45068.05","45121.15","44628.05","44714.95"
"13 Mar 2023","45351.50","45555.70","44861.35","44953.60"
"10 Mar 2023","45138.95","45398.65","44933.45","45334.75"
"09 Mar 2023","45724.70","45767.90","45181.15","45260.45"
"08 Mar 2023","45469.65","45812.95","45282.25","45722.00"
"06 Mar 2023","45529.25","45772.05","45427.05","45552.10"
"03 Mar 2023","44985.70","45471.65","44964.55","45410.00"
"02 Mar 2023","45128.65","45149.85","44729.35","44831.60"
"01 Mar 2023","44830.55","45149.00","44830.55","45062.55"
"28 Feb 2023","45082.00","45261.75","44667.10","44940.45"
"27 Feb 2023","45377.75","45384.90","44733.45","45040.75"
"24 Feb 2023","45656.15","45672.35","45154.55","45372.50"
"23 Feb 2023","45440.30","45956.10","45209.10","45530.10"
"22 Feb 2023","45538.40","45577.75","45329.15","45412.85"
"21 Feb 2023","45675.40","45820.40","45485.40","45551.95"
"20 Feb 2023","45726.00","45900.45","45389.30","45501.20"
"17 Feb 2023","45628.80","45756.45","45401.75","45617.30"
"16 Feb 2023","45914.10","45979.00","45657.80","45758.20"
"15 Feb 2023","45625.35","45845.70","45361.95","45799.20"
"14 Feb 2023","45595.40","46078.70","45503.10","45976.95"
"13 Feb 2023","45477.80","45590.50","45255.70","45508.40"
"10 Feb 2023","45521.10","45716.10","45303.40","45488.10"
"09 Feb 2023","45776.35","46012.10","45614.20","45671.25"
"08 Feb 2023","45795.65","45976.05","45604.65","45771.60"
"07 Feb 2023","46396.25","46398.70","45538.50","45758.10"
"06 Feb 2023","46041.25","46374.90","45874.10","46293.60"
"03 Feb 2023","46191.90","46229.35","45551.70","46037.20"
"02 Feb 2023","44989.40","46090.55","44915.85","45981.55"
"01 Feb 2023","44699.45","45253.75","43550.10","44958.30"
"31 Jan 2023","44291.65","44626.40","43721.95","44456.90"
"30 Jan 2023","44542.25","44548.40","43956.60","44220.35"
"27 Jan 2023","44483.50","44617.80","44111.15","44486.65"
"25 Jan 2023","44274.80","44426.90","44056.00","44284.15"
"24 Jan 2023","44324.85","44449.65","44214.95","44324.35"
"23 Jan 2023","44047.65","44295.05","43841.05","44261.90"
"20 Jan 2023","43887.40","44138.70","43752.00","43899.60"
"19 Jan 2023","44596.10","44708.95","44157.35","44326.05"
"18 Jan 2023","44621.80","44808.95","44505.30","44711.45"
"17 Jan 2023","44044.80","44582.80","44011.25","44536.10"
"16 Jan 2023","44065.55","44099.85","43866.15","44006.75"
"13 Jan 2023","44013.60","44200.55","43741.45","43955.60"
"12 Jan 2023","44179.40","44258.75","43802.60","43966.35"
"11 Jan 2023","44728.45","44752.80","44077.10","44123.00"
